nose_x,nose_y,eye_l_x,eye_l_y,eye_r_x,eye_r_y,shoulder_l_x,shoulder_l_y,shoulder_r_x,shoulder_r_y,label
0.483630598,0.41270408,0.507454991,0.356665105,0.520764649,0.355709702,0.66725719,0.675649583,0.294440687,0.682120562,Good Posture
0.483673245,0.412440956,0.50751102,0.356602788,0.520769477,0.355685085,0.665899158,0.676211953,0.29104048,0.682126164,Good Posture
0.483617246,0.413286984,0.507343292,0.3570894,0.520729303,0.355999827,0.665936351,0.676241696,0.29496938,0.6816414,Good Posture
0.484192073,0.411839455,0.507910609,0.355966747,0.521154583,0.355092436,0.66526854,0.676222205,0.292312086,0.681645453,Good Posture
0.483949602,0.41195184,0.507724285,0.355966926,0.521095157,0.355078757,0.666887939,0.676234663,0.29466331,0.681222975,Good Posture
0.482933849,0.41131103,0.50691998,0.355738759,0.520356596,0.354782373,0.666873038,0.675945282,0.295065582,0.680802941,Good Posture
0.482960701,0.411976844,0.506906748,0.356228232,0.52028054,0.355081886,0.666017711,0.67470485,0.293502092,0.681509972,Good Posture
0.483006239,0.410837024,0.506899953,0.355391443,0.520275235,0.354241729,0.666932225,0.674729884,0.293941885,0.681394637,Good Posture
0.483073235,0.410802215,0.506897569,0.355326861,0.520262122,0.354128182,0.666944623,0.674786806,0.294206649,0.681246042,Good Posture
0.48311919,0.410783917,0.50689739,0.355312556,0.520244479,0.354114681,0.666867256,0.676861346,0.291864157,0.682611465,Good Posture
0.483207464,0.410383433,0.507088661,0.354328305,0.520676732,0.353361249,0.667040586,0.676677585,0.292129695,0.680759728,Good Posture
0.484748751,0.41092214,0.508437991,0.355088085,0.521628022,0.354130536,0.666672349,0.676524103,0.291554451,0.680793881,Good Posture
0.485765606,0.412583053,0.509137332,0.356358856,0.522300839,0.355462879,0.666457772,0.676523745,0.291805714,0.678142488,Good Posture
0.485847712,0.412471443,0.509139657,0.356371611,0.52229917,0.355478287,0.66616261,0.677067399,0.289921999,0.679299235,Good Posture
0.485204756,0.415273666,0.508710504,0.358673036,0.522086978,0.357762039,0.66667515,0.677753329,0.291066945,0.679283381,Good Posture
0.486925125,0.416101754,0.510039747,0.35939154,0.523279548,0.358555317,0.666166484,0.677353203,0.290215194,0.680372775,Good Posture
0.487015903,0.416298509,0.51014328,0.359510571,0.523449063,0.358694255,0.666161239,0.677753508,0.290553808,0.680287123,Good Posture
0.486742556,0.416310489,0.509935737,0.359807879,0.523167372,0.35892871,0.666161299,0.677749872,0.29079172,0.679813266,Good Posture
0.485579669,0.416416675,0.509351909,0.359844148,0.522728205,0.358928859,0.669091642,0.677935898,0.290743321,0.679888666,Good Posture
0.487738311,0.417572677,0.511183083,0.361182839,0.524489522,0.360366434,0.668449163,0.677214861,0.290386468,0.679883659,Good Posture
0.487689406,0.417611212,0.511151075,0.361203164,0.524480343,0.360378653,0.66831851,0.677158117,0.291416466,0.67989552,Good Posture
0.487737745,0.417502373,0.511185288,0.361204147,0.524471283,0.360401243,0.665217936,0.677045822,0.289137393,0.68034631,Good Posture
0.487469912,0.417882144,0.510930419,0.361641586,0.52428633,0.360955983,0.663375258,0.676651835,0.289377868,0.677870035,Good Posture
0.487590402,0.415035337,0.510936081,0.359890282,0.524278104,0.359086543,0.663401246,0.675658405,0.291469514,0.679558814,Good Posture
0.486515224,0.416684359,0.51027,0.361319333,0.523605108,0.360676378,0.661776423,0.675621927,0.288678229,0.679492056,Good Posture
0.488707483,0.417318255,0.511377215,0.361614615,0.524900079,0.360848039,0.661809921,0.675573766,0.290411919,0.679433703,Good Posture
0.487741947,0.417351544,0.510799825,0.361613691,0.524442732,0.360837162,0.662394643,0.675349653,0.291421622,0.679258108,Good Posture
0.487500101,0.415893614,0.510702372,0.360446334,0.524252713,0.359692514,0.662320375,0.675084293,0.290859878,0.680066884,Good Posture
0.485743701,0.414773077,0.509126067,0.359187007,0.522599101,0.358514845,0.662186265,0.675093412,0.290817082,0.675271213,Good Posture
0.485487849,0.415198505,0.508816481,0.359451175,0.52218765,0.358585328,0.662144244,0.674591303,0.290737271,0.675310075,Good Posture
0.486928463,0.416611731,0.509423792,0.360446423,0.523054361,0.359306514,0.662051022,0.674031019,0.293310702,0.675920308,Good Posture
